City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,mahebourg,-20.4081,57.7,25.14,94,20,1.54,MU,1675043155
171,berlevag,70.8578,29.0864,1.97,64,75,4.12,NO,1675043156
172,skjervoy,70.0311,20.9714,-5.0,66,32,3.98,NO,1675043157
173,kampong thum,12.7111,104.8887,21.95,52,26,4.61,KH,1675043158
174,barcelos,41.5388,-8.6151,5.94,72,4,2.41,PT,1675043158
175,klaksvik,62.2266,-6.589,2.51,71,99,15.35,FO,1675043159
176,chokurdakh,70.6333,147.9167,-35.51,98,100,2.36,RU,1675043159
177,bluff,-46.6,168.3333,16.23,87,100,4.12,NZ,1675043160
178,santarem,-2.4431,-54.7083,26.07,94,0,1.03,BR,1675043043
179,byron bay,-28.65,153.6167,29.41,71,91,4.97,AU,1675042969
180,pisco,-13.7,-76.2167,23.03,83,20,6.69,PE,1675043161
181,acajutla,13.5928,-89.8275,24.77,68,55,3.35,SV,1675043162
182,terrasini,38.146,13.0844,10.12,79,0,1.54,IT,1675043162
183,mathbaria,22.2876,89.9593,17.37,52,1,2.09,BD,1675043163
184,port washington,40.8257,-73.6982,9.53,68,100,5.81,US,1675043066
185,flagstaff,35.1981,-111.6513,2.81,54,0,9.26,US,1675043116
186,port alfred,-33.5906,26.891,15.1,86,69,4.0,ZA,1675043164
187,tommot,58.9564,126.2925,-32.13,97,82,0.54,RU,1675043165
188,palpa,-14.5336,-75.1856,23.97,75,100,1.5,PE,1675043166
189,tura,25.5198,90.2201,18.51,53,4,0.74,IN,1675043166
190,uniara,26.15,75.2167,13.57,72,65,3.27,IN,1675043167
191,tiksi,71.6872,128.8694,-37.58,98,84,2.42,RU,1675043168
192,agadez,19.75,10.25,14.47,11,5,4.51,NE,1675043168
193,sola,-13.8833,167.55,27.15,78,100,6.7,VU,1675043169
194,pringsewu,-5.3582,104.9744,24.72,90,97,1.26,ID,1675043170
195,la ronge,55.1001,-105.2842,-22.86,70,40,3.09,CA,1675043141
196,oron,4.8256,8.2343,25.49,84,38,0.78,NG,1675043170
197,zavitinsk,50.1167,129.45,-24.94,94,57,1.39,RU,1675043171
198,kaitangata,-46.2817,169.8464,16.97,82,100,4.04,NZ,1675043172
199,eureka,40.8021,-124.1637,12.34,89,0,6.34,US,1675043173
200,hasaki,35.7333,140.8333,7.94,59,26,5.02,JP,1675043174
201,tazovskiy,67.4667,78.7,-28.93,100,100,2.36,RU,1675043175
202,monticello,45.3055,-93.7941,-17.65,74,100,3.09,US,1675043176
203,butaritari,3.0707,172.7902,27.26,78,1,9.86,KI,1675043176
204,nome,64.5011,-165.4064,0.09,93,100,10.29,US,1675043177
205,griffith,41.5284,-87.4237,-1.73,81,100,5.14,US,1675043005
206,lompoc,34.6391,-120.4579,10.56,87,100,4.02,US,1675043017
207,high level,58.5169,-117.136,-11.94,79,20,5.66,CA,1675043140
208,nouadhibou,20.931,-17.0347,15.99,72,99,8.75,MR,1675043179
209,sarangarh,21.6,83.0833,18.3,58,1,1.91,IN,1675043180
210,rochegda,62.8,43.25,-7.87,94,100,4.08,RU,1675043181
211,leningradskiy,69.3833,178.4167,-20.8,97,61,2.71,RU,1675043181
212,aykhal,66.0,111.5,-31.54,100,99,1.46,RU,1675043182
213,voznesenka,46.8717,35.4646,0.73,89,100,5.37,UA,1675043183
214,acapulco,16.8634,-99.8901,27.9,69,0,3.6,MX,1675042971
215,ouesso,1.6136,16.0517,23.01,83,96,0.61,CG,1675043184
216,knyaze-volkonskoye,48.4642,135.4567,-22.81,91,89,2.71,RU,1675043185
217,yerbogachen,61.2767,108.0108,-17.03,99,100,1.15,RU,1675043185
218,balkanabat,39.5108,54.3671,3.85,55,100,0.56,TM,1675043186
219,novaya igirma,57.1334,103.9112,-10.28,92,100,3.34,RU,1675043186
220,arica,-18.475,-70.3042,23.13,68,0,1.03,CL,1675043137
221,nikolskoye,59.7035,30.7861,-0.05,96,100,5.76,RU,1675043187
222,abadan,30.3392,48.3043,15.97,82,75,3.09,IR,1675043188
223,buritizeiro,-17.3511,-44.9622,22.08,82,95,1.09,BR,1675043189
224,hualmay,-11.0964,-77.6139,22.2,83,100,2.94,PE,1675043189
225,mae chan,20.1467,99.8526,13.81,63,1,1.18,TH,1675043190
226,atasu,48.6814,71.6433,-22.51,89,4,2.1,KZ,1675043190
227,huicungo,-7.2833,-76.8,25.5,66,99,0.97,PE,1675043191
228,dwarka,22.2394,68.9678,18.51,53,0,5.45,IN,1675043191
229,bedele,8.456,36.353,16.21,44,89,1.13,ET,1675043192
230,qandala,11.472,49.8728,22.01,55,18,3.29,SO,1675043192
231,twentynine palms,34.1356,-116.0542,11.08,50,2,5.36,US,1675043193
232,ostrovnoy,68.0531,39.5131,-3.41,89,100,10.12,RU,1675043194
233,rocha,-34.4833,-54.3333,20.94,80,74,2.9,UY,1675043194
234,benjamin hill,30.1667,-111.1,13.28,36,0,5.96,MX,1675043194
235,necochea,-38.5473,-58.7368,18.68,61,0,6.52,AR,1675043195
236,dakar,14.6937,-17.4441,17.49,69,100,9.17,SN,1675042582
237,marienburg,54.0359,19.0266,3.25,88,100,8.91,PL,1675043196
238,atar,20.5169,-13.0499,14.76,43,89,3.83,MR,1675043196
239,snezhnogorsk,69.1933,33.2531,-8.12,96,98,4.64,RU,1675043197
240,aitape,-3.1374,142.3475,29.26,70,77,2.1,PG,1675043197
241,jieshi,22.8134,115.8257,13.38,43,0,3.49,CN,1675043198
242,pachino,36.7186,15.0907,10.9,71,95,5.44,IT,1675043198
243,gazanjyk,39.2446,55.5154,2.59,69,100,1.89,TM,1675043199
244,marawi,7.9986,124.2928,24.97,76,99,1.75,PH,1675043199
245,east london,-33.0153,27.9116,18.12,68,84,2.25,ZA,1675043200
246,lakatoro,-16.0999,167.4164,29.26,70,100,2.73,VU,1675043200
247,abha,18.2164,42.5053,9.9,93,0,0.0,SA,1675043201
248,lakes entrance,-37.8811,147.981,21.2,71,100,2.72,AU,1675043201
249,lavrentiya,65.5833,-171.0,-5.2,95,100,7.38,RU,1675043201
250,gravdal,68.1214,13.5031,1.93,66,100,10.06,NO,1675043202
251,bingol,38.8847,40.4939,-2.44,90,96,1.62,TR,1675043202
